STATE/UT,DISTRICT,YEAR,MURDER,RAPE,K&A,ROBBERY,BURGLARY,THEFT,DD,IMG,sum_of_crime_numbers
RAJASTHAN,CHURU,2001,26,24,26,11,129,210,8,0,434
RAJASTHAN,DAUSA,2001,28,9,40,14,148,380,8,0,627
RAJASTHAN,DHOLPUR,2001,42,24,43,27,80,240,21,0,477
RAJASTHAN,DUNGARPUR,2001,31,17,54,8,79,74,3,0,266
RAJASTHAN,G.R.P.,2001,3,1,7,12,10,584,0,0,617
RAJASTHAN,GANGANAGAR,2001,51,55,79,14,253,408,13,0,873
RAJASTHAN,HANUMANGARH,2001,56,35,49,12,196,348,20,0,716
RAJASTHAN,JAIPUR,2001,91,61,247,79,1110,3207,29,0,4824
RAJASTHAN,JAISALMER,2001,9,2,8,4,51,142,3,0,219
RAJASTHAN,JALORE,2001,17,10,32,11,104,156,12,0,342
RAJASTHAN,JHALAWAR,2001,38,65,89,45,220,383,8,0,848
RAJASTHAN,JHUNJHUNU,2001,37,19,45,6,163,392,0,0,662
RAJASTHAN,JODHPUR,2001,30,20,78,43,319,831,12,1,1334
RAJASTHAN,KARAULI,2001,35,21,72,12,68,298,10,0,516
RAJASTHAN,KOTA,2001,58,50,146,86,456,1213,17,0,2026
RAJASTHAN,NAGAUR,2001,48,22,59,23,274,407,14,0,847
RAJASTHAN,PALI,2001,43,25,77,14,193,294,15,0,661
RAJASTHAN,RAJSAMAND,2001,15,13,63,7,81,191,6,0,376
RAJASTHAN,SAWAI MADHOPUR,2001,23,19,62,31,102,310,6,0,553
RAJASTHAN,SIKAR,2001,46,13,48,14,212,379,15,0,727
RAJASTHAN,SIROHI,2001,31,22,24,16,157,122,8,0,380
RAJASTHAN,TONK,2001,19,17,68,19,145,298,7,0,573
RAJASTHAN,UDAIPUR,2001,67,43,161,42,298,545,9,0,1165
RAJASTHAN,TOTAL,2001,1259,1049,2718,889,7284,16939,376,1,30515
SIKKIM,EAST,2001,13,7,4,2,59,50,0,0,135
SIKKIM,NORTH,2001,1,0,0,0,2,3,0,0,6
SIKKIM,SOUTH,2001,4,1,1,0,9,9,0,0,24
SIKKIM,WEST,2001,1,0,1,1,6,12,0,0,21
SIKKIM,TOTAL,2001,19,8,6,3,76,74,0,0,186
TAMIL NADU,ARIYALUR,2001,24,6,25,3,37,124,3,0,222
TAMIL NADU,CHENGAI,2001,78,20,8,52,454,933,16,0,1561
TAMIL NADU,CHENNAI,2001,91,28,40,127,668,2167,13,0,3134
TAMIL NADU,CHENNAI RLY.,2001,5,0,0,8,0,154,0,0,167
TAMIL NADU,COIMBATORE RURAL,2001,77,18,38,41,346,1008,16,0,1544
TAMIL NADU,COIMBATORE URBAN,2001,16,4,14,15,179,952,5,0,1185
TAMIL NADU,CUDDALORE,2001,60,16,21,33,166,547,9,0,852
TAMIL NADU,DHARMAPURI,2001,88,17,35,22,214,427,6,0,809
TAMIL NADU,DINDIGUL,2001,72,14,49,13,168,479,8,5,808
TAMIL NADU,ERODE,2001,63,9,45,13,218,662,4,0,1014
TAMIL NADU,KANCHIPURAM,2001,45,21,13,10,218,494,6,9,816
TAMIL NADU,KANYAKUMARI,2001,33,6,13,4,230,260,5,0,551
TAMIL NADU,KARUR,2001,28,4,11,9,39,226,2,0,319
TAMIL NADU,MADURAI RURAL,2001,64,13,30,42,137,351,5,0,642
TAMIL NADU,MADURAI URBAN,2001,34,2,26,33,198,803,12,0,1108
TAMIL NADU,NAGAPATTINAM,2001,36,12,29,2,94,318,4,0,495
TAMIL NADU,NAMAKKAL,2001,36,7,16,6,58,153,4,0,280
TAMIL NADU,NILGIRIS,2001,16,8,5,5,109,102,2,0,247
TAMIL NADU,PERAMBALUR,2001,10,3,13,2,31,47,0,0,106
TAMIL NADU,PUDUKOTTAI,2001,30,5,27,5,81,238,2,0,388
TAMIL NADU,RAMNATHAPURAM,2001,33,13,26,4,104,172,4,0,356
TAMIL NADU,SALEM RURAL,2001,78,8,35,8,66,192,8,0,395
TAMIL NADU,SALEM URBAN,2001,12,2,10,20,70,467,3,0,584
TAMIL NADU,SIVAGANGAI,2001,26,5,16,10,159,328,4,0,548
TAMIL NADU,THANJAVUR,2001,49,0,55,16,171,435,0,0,726
TAMIL NADU,THENI,2001,16,4,18,9,83,240,4,0,374
TAMIL NADU,THIRUNELVELI RURAL,2001,74,57,66,27,310,560,3,0,1097
TAMIL NADU,THIRUNELVELI URBAN,2001,12,3,15,10,76,227,0,0,343
TAMIL NADU,THIRUVALLUR,2001,34,16,24,11,106,226,6,0,423
TAMIL NADU,THIRUVANNAMALAI,2001,44,5,40,14,162,402,1,0,668
TAMIL NADU,THIRUVARUR,2001,31,7,30,6,96,182,4,0,356
TAMIL NADU,THOOTHUGUDI,2001,69,12,38,34,169,484,1,0,807
TAMIL NADU,TRICHY RLY.,2001,0,0,0,1,2,40,0,0,43
TAMIL NADU,TRICHY RURAL,2001,52,6,19,0,49,213,3,0,342
TAMIL NADU,TRICHY URBAN,2001,24,5,11,6,110,504,4,0,664
TAMIL NADU,VELLORE,2001,78,13,16,25,309,744,8,0,1193
TAMIL NADU,VILLUPURAM,2001,67,37,53,7,147,339,14,0,664
TAMIL NADU,VIRUDHUNAGAR,2001,57,17,22,19,131,509,2,0,757
TAMIL NADU,TOTAL,2001,1662,423,952,672,5965,16709,191,14,26588
TRIPURA,DHALAI,2001,35,11,15,4,11,7,2,0,85
TRIPURA,NORTH,2001,38,29,19,19,42,47,3,0,197
TRIPURA,SOUTH,2001,42,29,20,8,30,37,5,0,171
TRIPURA,WEST,2001,125,33,39,32,115,168,6,0,518
TRIPURA,TOTAL,2001,240,102,93,63,198,259,16,0,971
UTTAR PRADESH,AGRA,2001,153,66,203,171,432,1181,63,0,2269
UTTAR PRADESH,ALIGARH,2001,229,50,123,182,190,727,44,0,1545
UTTAR PRADESH,ALLAHABAD,2001,167,42,96,81,368,850,56,0,1660
UTTAR PRADESH,AMBEDKAR NAGAR,2001,46,19,29,22,95,116,14,0,341
UTTAR PRADESH,AURAIYA,2001,53,11,61,24,36,82,21,0,288
UTTAR PRADESH,AZAMGARH,2001,120,11,45,80,145,187,32,0,620
UTTAR PRADESH,BADAUN,2001,239,47,82,67,118,306,62,0,921
UTTAR PRADESH,BAGHPAT,2001,89,15,31,54,45,218,20,0,472
UTTAR PRADESH,BAHRAICH,2001,43,14,28,20,79,169,19,0,372
UTTAR PRADESH,BALLIA,2001,55,18,24,14,125,178,19,0,433
UTTAR PRADESH,BALRAMPUR,2001,26,8,20,4,38,81,12,0,189
UTTAR PRADESH,BANDA,2001,75,27,29,31,87,108,21,0,378
UTTAR PRADESH,BARABANKI,2001,88,41,71,50,160,349,35,0,794
UTTAR PRADESH,BAREILLY,2001,272,93,144,138,210,784,57,0,1698
UTTAR PRADESH,BASTI,2001,48,18,28,28,101,171,22,0,416
UTTAR PRADESH,BIJNOR,2001,124,38,85,56,132,352,31,0,818
UTTAR PRADESH,BULANDSHAHAR,2001,250,31,94,103,109,459,45,0,1091
UTTAR PRADESH,CHANDOLI,2001,35,4,20,18,52,84,16,0,229
UTTAR PRADESH,CHITRAKOOT DHAM,2001,28,8,5,3,23,27,8,0,102
UTTAR PRADESH,DEORIA,2001,48,7,39,26,87,163,27,0,397
UTTAR PRADESH,ETAH,2001,240,57,118,79,136,350,68,0,1048
UTTAR PRADESH,ETAWAH,2001,82,20,93,32,48,166,29,0,470
UTTAR PRADESH,FAIZABAD,2001,77,22,28,44,99,245,17,0,532
UTTAR PRADESH,FATEHGARH,2001,120,9,63,18,48,126,22,0,406
UTTAR PRADESH,FATEHPUR,2001,132,28,45,36,70,132,46,0,489
UTTAR PRADESH,FIROZABAD,2001,135,22,120,72,105,292,48,0,794
UTTAR PRADESH,G.R.P.,2001,31,2,4,49,4,3141,1,0,3232
UTTAR PRADESH,GAUTAMBUDH NAGAR,2001,92,16,42,47,56,729,17,0,999
UTTAR PRADESH,GHAZIABAD,2001,230,31,112,117,227,1357,33,0,2107
UTTAR PRADESH,GHAZIPUR,2001,46,6,28,17,92,107,22,0,318
UTTAR PRADESH,GONDA,2001,68,18,34,32,118,161,26,0,457
UTTAR PRADESH,GORAKHPUR,2001,96,13,60,38,137,192,16,0,552
UTTAR PRADESH,HAMIRPUR,2001,66,14,24,31,60,110,22,0,327
UTTAR PRADESH,HARDOI,2001,182,70,75,50,89,267,63,0,796
UTTAR PRADESH,HATHRAS,2001,86,16,50,64,91,225,31,0,563
UTTAR PRADESH,J.P.NAGAR,2001,112,23,47,37,36,166,14,0,435
UTTAR PRADESH,JALAUN,2001,83,6,36,41,92,167,29,0,454
UTTAR PRADESH,JAUNPUR,2001,56,11,22,33,101,165,43,0,431
UTTAR PRADESH,JHANSI,2001,76,18,42,35,100,258,31,0,560
UTTAR PRADESH,KANNAUJ,2001,66,8,40,13,52,106,22,0,307
UTTAR PRADESH,KANPUR DEHAT,2001,85,21,50,30,48,140,39,0,413
UTTAR PRADESH,KANPUR NAGAR,2001,210,47,210,128,361,1309,64,0,2329
UTTAR PRADESH,KAUSHAMBI,2001,77,26,31,18,116,144,28,0,440
UTTAR PRADESH,KHIRI,2001,172,83,112,79,161,492,88,0,1187
UTTAR PRADESH,KUSHI NAGAR,2001,69,7,34,11,58,107,18,0,304
UTTAR PRADESH,LALITPUR,2001,25,20,5,6,46,60,10,0,172
UTTAR PRADESH,LUCKNOW,2001,166,62,175,123,670,2202,47,0,3445
UTTAR PRADESH,MAHARAJGANJ,2001,39,13,19,7,45,54,7,0,184
UTTAR PRADESH,MAHOBA,2001,56,12,13,19,40,60,11,0,211
UTTAR PRADESH,MAINPURI,2001,136,13,56,72,88,191,42,0,598
UTTAR PRADESH,MATHURA,2001,125,25,62,97,108,372,21,0,810
UTTAR PRADESH,MAU,2001,49,17,30,27,79,117,16,0,335
UTTAR PRADESH,MEERUT,2001,275,28,160,210,268,1202,34,0,2177
UTTAR PRADESH,MIRZAPUR,2001,44,16,14,18,77,157,23,0,349
UTTAR PRADESH,MORADABAD,2001,213,44,102,101,160,607,45,0,1272
UTTAR PRADESH,MUZAFFARNAGAR,2001,324,54,142,150,185,637,24,0,1516
UTTAR PRADESH,PILIBHIT,2001,115,64,66,62,92,192,44,0,635
UTTAR PRADESH,PRATAPGARH,2001,76,18,43,44,129,139,33,0,482
UTTAR PRADESH,RAIBAREILLY,2001,87,58,58,41,160,304,29,0,737
UTTAR PRADESH,RAMPUR,2001,89,22,44,35,71,266,18,0,545
UTTAR PRADESH,SAHARANPUR,2001,101,41,75,65,79,428,21,0,810
UTTAR PRADESH,SANT KABIRNAGAR,2001,16,9,17,4,18,39,7,0,110
UTTAR PRADESH,SHAHJAHANPUR,2001,196,55,112,70,83,340,66,0,922
UTTAR PRADESH,SHRAWASTI,2001,35,13,21,13,49,108,4,0,243
UTTAR PRADESH,SIDHARTHNAGAR,2001,13,12,24,10,84,82,13,0,238
UTTAR PRADESH,SITAPUR,2001,162,85,99,95,237,826,82,0,1586
UTTAR PRADESH,SONBHADRA,2001,33,5,9,10,54,91,12,0,214
UTTAR PRADESH,ST.RAVIDASNAGAR,2001,21,1,8,12,49,100,9,0,200
UTTAR PRADESH,SULTANPUR,2001,103,29,47,42,157,295,38,0,711
UTTAR PRADESH,UNNAO,2001,147,53,97,74,85,361,63,0,880
UTTAR PRADESH,VARANASI,2001,78,27,55,95,161,535,31,0,982
UTTAR PRADESH,TOTAL,2001,7601,1958,4330,3825,8411,27011,2211,0,55347
UTTARAKHAND,ALMORA,2001,18,4,1,7,12,55,3,0,100
UTTARAKHAND,BAGESHWAR,2001,10,1,4,4,2,13,8,0,42
UTTARAKHAND,CHAMOLI,2001,13,3,3,6,39,26,3,0,93
UTTARAKHAND,CHAMPAWAT,2001,3,0,3,4,8,13,0,0,31
UTTARAKHAND,DEHRADUN,2001,32,12,54,31,174,392,4,0,699
UTTARAKHAND,HARIDWAR,2001,94,13,52,43,62,349,10,0,623
UTTARAKHAND,NAINITAL,2001,36,5,14,26,64,151,5,0,301
UTTARAKHAND,PAURI GARHWAL,2001,26,7,7,18,32,81,5,0,176
UTTARAKHAND,PITHORAGARH,2001,8,7,1,6,28,41,2,0,93
UTTARAKHAND,RUDRA PRAYAG,2001,5,2,0,1,3,20,3,0,34
UTTARAKHAND,TEHRI GARHWAL,2001,7,2,5,7,26,37,2,0,86
UTTARAKHAND,UDHAMSINGH NAGAR,2001,54,10,36,32,65,198,10,0,405
UTTARAKHAND,UTTARKASHI,2001,10,8,3,6,18,43,1,0,89
UTTARAKHAND,TOTAL,2001,316,74,183,191,533,1419,56,0,2772
WEST BENGAL,24 PARGANAS NORTH,2001,202,53,81,56,46,1679,23,0,2140
WEST BENGAL,24 PARGANAS SOUTH,2001,107,47,53,33,16,1143,48,0,1447
WEST BENGAL,ASANSOL,2001,9,0,3,1,0,54,1,0,68
WEST BENGAL,BANKURA,2001,35,26,7,30,6,235,22,0,361
WEST BENGAL,BIRBHUM,2001,76,43,43,30,18,350,4,0,564
WEST BENGAL,BURDWAN,2001,133,46,45,42,28,848,32,0,1174
WEST BENGAL,COOCHBEHAR,2001,37,36,43,15,14,125,6,0,276
WEST BENGAL,DAKSHIN DINAJPUR,2001,25,10,31,7,2,126,4,0,205
WEST BENGAL,DARJEELING,2001,46,20,21,21,17,467,2,1,595
WEST BENGAL,HOOGHLY,2001,81,29,41,28,15,587,10,0,791
WEST BENGAL,HOWRAH,2001,28,2,11,3,1,170,8,0,223
WEST BENGAL,HOWRAH CITY,2001,21,7,17,16,6,353,5,0,425
WEST BENGAL,HOWRAH G.R.P.,2001,18,1,7,10,0,673,0,0,709
WEST BENGAL,JALPAIGURI,2001,152,54,33,58,27,486,2,0,812
WEST BENGAL,KOLKATA,2001,65,19,121,149,148,4040,6,2,4550
WEST BENGAL,MALDA,2001,55,40,38,9,10,333,5,0,490
WEST BENGAL,MIDNAPUR,2001,120,84,74,59,39,581,58,0,1015
WEST BENGAL,MURSHIDABAD,2001,130,66,52,31,10,378,12,0,679
WEST BENGAL,NADIA,2001,124,71,91,23,10,678,10,0,1007
WEST BENGAL,PURULIA,2001,69,23,17,20,5,300,3,0,437
WEST BENGAL,SEALDAH G.R.P.,2001,23,1,3,11,0,276,0,0,314
WEST BENGAL,SILIGURI G.R.P.,2001,2,0,2,1,0,89,0,0,94
WEST BENGAL,UTTAR DINAJPUR,2001,36,31,41,7,8,274,4,0,401
WEST BENGAL,TOTAL,2001,1594,709,875,660,426,14245,265,3,18777
A & N ISLANDS,ANDAMAN,2001,13,3,2,4,62,65,0,0,149
A & N ISLANDS,NICOBAR,2001,0,0,0,0,2,0,0,0,2
A & N ISLANDS,TOTAL,2001,13,3,2,4,64,65,0,0,151
CHANDIGARH,CHANDIGARH,2001,15,18,56,22,364,1529,3,0,2007
CHANDIGARH,TOTAL,2001,15,18,56,22,364,1529,3,0,2007
D & N HAVELI,D and N HAVELI,2001,3,6,4,2,34,45,0,0,94
D & N HAVELI,TOTAL,2001,3,6,4,2,34,45,0,0,94
DAMAN & DIU,DAMAN,2001,6,0,5,0,39,34,0,0,84
DAMAN & DIU,DIU,2001,1,0,0,0,4,6,0,0,11
DAMAN & DIU,TOTAL,2001,7,0,5,0,43,40,0,0,95
DELHI UT,CENTRAL,2001,29,28,62,42,149,1595,4,0,1909
DELHI UT,DELHI UT TOTAL,2001,547,381,1627,624,3029,19276,113,0,25597
DELHI UT,EAST,2001,56,24,163,47,270,1651,11,0,2222
DELHI UT,G.R.P.(RLY),2001,11,1,7,11,2,1430,0,0,1462
DELHI UT,I.G.I. AIRPORT,2001,2,0,4,2,0,52,0,0,60
DELHI UT,NEW DELHI,2001,11,9,27,22,75,1237,0,0,1381
DELHI UT,NORTH,2001,28,28,99,52,177,1364,4,0,1752
DELHI UT,NORTH EAST,2001,62,36,157,74,157,961,20,0,1467
DELHI UT,NORTH WEST,2001,134,103,518,122,619,2850,25,0,4371
DELHI UT,S.T.F.,2001,0,0,0,0,0,0,0,0,0
DELHI UT,SOUTH,2001,83,65,265,120,803,4220,15,0,5571
DELHI UT,SOUTH WEST,2001,61,42,174,74,359,1816,16,0,2542
DELHI UT,WEST,2001,70,45,151,58,418,2100,18,0,2860
LAKSHADWEEP,LAKSHADWEEP,2001,1,0,0,0,1,10,0,0,12
LAKSHADWEEP,TOTAL,2001,1,0,0,0,1,10,0,0,12
PUDUCHERRY,PONDICHERRY,2001,25,9,4,4,111,528,1,0,682
PUDUCHERRY,TOTAL,2001,25,9,4,4,111,528,1,0,682
ANDHRA PRADESH,ADILABAD,2002,100,37,42,40,193,226,20,0,658
ANDHRA PRADESH,ANANTAPUR,2002,166,28,65,21,196,356,9,0,841
ANDHRA PRADESH,CHITTOOR,2002,105,28,67,14,208,832,16,0,1270
ANDHRA PRADESH,CUDDAPAH,2002,91,16,27,11,84,205,21,0,455
ANDHRA PRADESH,EAST GODAVARI,2002,97,25,55,12,468,1206,11,0,1874
ANDHRA PRADESH,GUNTAKAL RLY.,2002,0,1,0,2,0,148,0,0,151
ANDHRA PRADESH,GUNTUR,2002,143,46,87,53,357,1182,13,0,1881
ANDHRA PRADESH,HYDERABAD CITY,2002,117,57,115,68,1348,3777,24,0,5506
ANDHRA PRADESH,KARIMNAGAR,2002,160,99,62,60,216,404,45,0,1046
ANDHRA PRADESH,KHAMMAM,2002,106,48,70,11,164,431,13,0,843
ANDHRA PRADESH,KRISHNA,2002,92,41,26,4,242,543,14,0,962
ANDHRA PRADESH,KURNOOL,2002,124,45,54,17,134,308,11,0,693
ANDHRA PRADESH,MAHABOOBNAGAR,2002,171,85,57,39,241,439,31,0,1063
ANDHRA PRADESH,MEDAK,2002,103,68,46,35,272,356,25,0,905
ANDHRA PRADESH,NALGONDA,2002,109,41,46,18,167,321,37,0,739
ANDHRA PRADESH,NELLORE,2002,84,46,67,23,209,542,10,0,981
ANDHRA PRADESH,NIZAMABAD,2002,93,35,29,30,179,338,17,0,721
ANDHRA PRADESH,PRAKASHAM,2002,67,21,32,13,132,259,5,0,529
ANDHRA PRADESH,RANGA REDDY,2002,214,49,104,62,1009,1450,51,0,2939
ANDHRA PRADESH,SECUNDERABAD RLY.,2002,12,0,0,3,3,350,0,0,368
ANDHRA PRADESH,SRIKAKULAM,2002,27,14,10,2,100,235,4,0,392
ANDHRA PRADESH,VIJAYAWADA,2002,39,31,78,56,723,2808,9,0,3744
ANDHRA PRADESH,VIJAYAWADA RLY.,2002,3,1,1,1,0,328,0,0,334
ANDHRA PRADESH,VISAKHA RURAL,2002,54,14,7,4,97,195,2,0,373
ANDHRA PRADESH,VISAKHAPATNAM,2002,20,8,15,7,250,573,3,0,876
ANDHRA PRADESH,VIZIANAGARAM,2002,28,12,9,3,105,171,1,0,329
ANDHRA PRADESH,WARANGAL,2002,131,52,72,20,245,413,45,0,978
ANDHRA PRADESH,WEST GODAVARI,2002,69,54,59,19,286,826,12,0,1325
ANDHRA PRADESH,TOTAL,2002,2525,1002,1302,648,7628,19222,449,0,32776
ARUNACHAL PRADESH,CHANGLANG,2002,9,3,5,5,18,25,0,0,65
ARUNACHAL PRADESH,DIBANG VALLEY,2002,6,5,6,9,16,20,0,0,62
ARUNACHAL PRADESH,KAMENG EAST,2002,3,1,4,3,10,23,0,0,44
ARUNACHAL PRADESH,KAMENG WEST,2002,3,0,4,0,10,15,0,0,32
ARUNACHAL PRADESH,LOHIT,2002,14,3,5,5,12,24,0,0,63
ARUNACHAL PRADESH,PAPUM PARE,2002,3,3,10,42,66,94,0,0,218
ARUNACHAL PRADESH,SIANG EAST,2002,3,11,10,6,28,58,0,0,116
ARUNACHAL PRADESH,SIANG UPPER,2002,0,3,0,1,9,7,0,0,20
ARUNACHAL PRADESH,SIANG WEST,2002,4,4,7,7,39,50,0,0,111
ARUNACHAL PRADESH,SUBANSIRI LOWER,2002,8,1,4,8,16,32,0,0,69
ARUNACHAL PRADESH,SUBANSIRI UPPER,2002,5,2,1,6,13,14,0,0,41
ARUNACHAL PRADESH,TAWANG,2002,0,1,0,0,3,13,0,0,17
ARUNACHAL PRADESH,TIRAP,2002,3,1,1,4,9,20,0,0,38
ARUNACHAL PRADESH,TOTAL,2002,61,38,57,96,249,395,0,0,896
ASSAM,BARPETA,2002,43,55,69,23,83,256,4,0,533
ASSAM,BONGAIGAON,2002,47,21,51,20,78,80,3,0,300
ASSAM,C.I.D.,2002,0,0,2,0,0,0,0,0,2
ASSAM,CACHAR,2002,57,71,93,18,206,448,7,0,900
ASSAM,DARRANG,2002,31,33,54,11,50,119,4,0,302
ASSAM,DHEMAJI,2002,30,48,31,11,27,83,1,0,231
ASSAM,DHUBRI,2002,60,46,62,20,78,88,4,0,358
ASSAM,DIBRUGARH,2002,97,45,75,23,96,309,1,0,646
ASSAM,G.R.P.,2002,6,0,0,6,2,62,0,0,76
ASSAM,GOALPARA,2002,24,40,48,10,63,107,2,0,294
ASSAM,GOLAGHAT,2002,57,42,68,37,56,260,0,0,520
ASSAM,GUWAHATI CITY,2002,60,60,184,83,530,1136,6,0,2059
ASSAM,HAILAKANDI,2002,26,24,42,5,63,110,1,0,271
ASSAM,JORHAT,2002,37,36,36,14,67,204,0,0,394
ASSAM,KAMRUP,2002,34,41,118,30,68,138,2,0,431
ASSAM,KARBI ANGLONG,2002,41,5,37,20,15,118,2,0,238
ASSAM,KARIMGANJ,2002,43,23,38,4,71,142,6,0,327
ASSAM,KOKRAJHAR,2002,62,15,48,13,45,77,3,0,263
ASSAM,LAKHIMPUR,2002,26,69,84,44,95,283,0,0,601
ASSAM,MORIGAON,2002,23,40,39,2,35,108,1,0,248
ASSAM,N.C.HILLS,2002,25,2,9,8,4,45,0,0,93
ASSAM,NAGAON,2002,78,61,132,77,355,298,7,0,1008
ASSAM,NALBARI,2002,47,27,50,31,81,87,0,0,323
ASSAM,R.P.O.,2002,0,1,1,0,1,4,0,0,7
ASSAM,SIBSAGAR,2002,75,57,57,22,50,328,6,0,595
ASSAM,SONITPUR,2002,109,67,114,35,166,332,9,0,832
ASSAM,TINSUKIA,2002,115,41,53,40,119,333,1,0,702
ASSAM,TOTAL,2002,1253,970,1595,607,2504,5555,70,0,12554
BIHAR,ARARIA,2002,61,101,91,36,63,109,5,0,466
BIHAR,ARWAL,2002,44,0,11,11,15,37,8,0,126
BIHAR,AURANGABAD,2002,96,12,19,26,66,132,33,0,384
BIHAR,BAGAHA,2002,27,23,49,11,17,127,0,0,254
BIHAR,BANKA,2002,100,27,32,35,55,92,10,0,351
BIHAR,BEGUSARAI,2002,138,20,75,89,67,253,23,0,665
BIHAR,BETTIAH,2002,100,55,67,58,111,274,31,0,696
BIHAR,BHABHUA,2002,48,17,41,24,78,140,17,0,365
BIHAR,BHAGALPUR,2002,107,40,89,64,134,409,19,0,862
BIHAR,BHOJPUR,2002,147,17,43,49,99,247,51,1,654
BIHAR,BUXAR,2002,60,17,40,44,61,182,16,0,420
BIHAR,DARBHANGA,2002,72,52,93,29,91,225,26,0,588
BIHAR,GAYA,2002,218,31,38,132,162,348,26,0,955
BIHAR,GOPALGANJ,2002,69,16,42,34,72,120,23,0,376
BIHAR,JAMALPUR RLY.,2002,6,0,5,7,3,121,1,0,143
BIHAR,JAMUI,2002,56,15,38,34,39,106,21,0,309
BIHAR,JEHANABAD,2002,73,7,32,20,34,123,21,0,310
BIHAR,KATIHAR,2002,67,77,87,30,65,157,5,0,488
BIHAR,KATIHAR RLY.,2002,14,2,3,17,17,218,1,0,272
BIHAR,KHAGARIA,2002,66,15,31,17,20,75,9,0,233
BIHAR,KISHANGANJ,2002,30,20,35,10,38,82,5,0,220
BIHAR,LAKHISARAI,2002,67,2,34,15,22,84,4,0,228
BIHAR,MADHEPURA,2002,50,10,32,41,22,75,4,0,234
BIHAR,MADHUBANI,2002,66,31,50,20,98,177,58,0,500
BIHAR,MOTIHARI,2002,97,41,139,102,133,306,48,0,866
BIHAR,MUNGER,2002,63,11,53,22,36,161,8,0,354
BIHAR,MUZAFFARPUR,2002,130,60,167,122,178,723,42,1,1423
BIHAR,MUZAFFARPUR RLY.,2002,18,2,5,18,11,319,0,0,373
BIHAR,NALANDA,2002,175,32,93,63,93,233,45,1,735
BIHAR,NAUGACHIA,2002,35,11,24,18,6,50,7,0,151
BIHAR,NAWADAH,2002,69,34,50,24,33,78,12,4,304
BIHAR,PATNA,2002,472,37,203,491,494,1763,76,0,3536
BIHAR,PATNA RLY.,2002,29,2,5,15,2,707,1,0,761
BIHAR,PURNEA,2002,96,46,48,114,86,174,6,0,570
BIHAR,ROHTAS,2002,132,15,92,90,166,375,52,0,922
BIHAR,SAHARSA,2002,39,11,20,20,18,65,10,0,183
BIHAR,SAMASTIPUR,2002,119,22,56,69,93,197,12,21,589
BIHAR,SARAN,2002,100,12,73,46,88,271,69,0,659
BIHAR,SHEIKHPURA,2002,33,6,24,6,11,60,5,1,146
BIHAR,SHEOHAR,2002,10,14,19,3,12,16,7,0,81
BIHAR,SITAMARHI,2002,54,31,50,27,46,176,14,1,399
BIHAR,SIWAN,2002,117,8,57,108,83,138,24,0,535
BIHAR,SUPAUL,2002,43,22,34,35,34,114,7,8,297
BIHAR,VAISHALI,2002,99,16,72,42,116,306,65,0,716
BIHAR,TOTAL,2002,3712,1040,2361,2288,3188,10145,927,38,23699
CHHATTISGARH,BALRAMPUR,2002,30,30,3,18,61,46,2,0,190
CHHATTISGARH,BILASPUR,2002,56,72,15,48,504,595,13,0,1303
CHHATTISGARH,BIZAPUR,2002,19,7,2,2,14,13,0,0,57
CHHATTISGARH,DANTEWARA,2002,59,9,4,6,62,66,1,0,207
CHHATTISGARH,DHAMTARI,2002,16,26,4,6,105,113,1,0,271
CHHATTISGARH,DURG,2002,72,132,29,51,569,787,11,0,1651
CHHATTISGARH,GRP RAIPUR,2002,2,5,0,0,8,207,0,0,222
CHHATTISGARH,JAGDALPUR,2002,70,46,19,19,169,116,0,0,439
CHHATTISGARH,JANJGIR,2002,43,42,6,18,163,191,13,0,476
CHHATTISGARH,JASHPUR,2002,54,35,0,18,59,82,2,0,250
CHHATTISGARH,KABIRDHAM,2002,18,20,2,3,73,57,0,0,173
CHHATTISGARH,KANKER,2002,35,37,6,4,76,54,1,0,213
CHHATTISGARH,KORBA,2002,40,38,4,18,236,312,9,0,657
CHHATTISGARH,KORIYA,2002,21,58,7,5,203,134,1,0,429
CHHATTISGARH,MAHASAMUND,2002,15,33,5,9,141,150,0,0,353
